name,poi_id,osm_way_id,osm_relation_id,building,amenity,way,geometry,centroid,area,area_ft2
,220,504087432,,yes,,,"POLYGON ((103.6293501 36.1055556, 103.6297218 36.105234, 103.6298825 36.1053553, 103.6299943 36.1052586, 103.6298435 36.1051447, 103.6298166 36.1051679, 103.6297014 36.105081, 103.6292447 36.1054761, 103.6293501 36.1055556))",POINT (103.6296153 36.1052993),1066.3,11477.2
,221,741308900,,yes,,,"POLYGON ((103.6765999 36.5434518, 103.6770425 36.5434514, 103.6770424 36.5433613, 103.6765997 36.5433617, 103.6765999 36.5434518))",POINT (103.6768211 36.5434065),396.0,4262.7
,222,859478384,,yes,,,"POLYGON ((98.8915815 39.9725974, 98.89149089999999 39.972237, 98.89198570000001 39.972164, 98.8920241 39.9723169, 98.8917495 39.9723573, 98.89180159999999 39.972565, 98.8915815 39.9725974))",POINT (98.8917228 39.9723524),1196.3,12876.4
,223,717853688,,yes,,,"POLYGON ((103.8376397 36.0356416, 103.8376769 36.0357508, 103.8385915 36.0355469, 103.8385543 36.0354378, 103.8376397 36.0356416))",POINT (103.8381155 36.0355943),1072.8,11547.7
,224,580601758,,yes,,,"POLYGON ((103.8944194 36.0634018, 103.8948512 36.0632977, 103.8947925 36.0631384, 103.8943606 36.0632425, 103.8944194 36.0634018))",POINT (103.8946059 36.0632701),750.0,8073.0
,225,331067024,,yes,,,"POLYGON ((94.809528 39.5823533, 94.8098099 39.5824709, 94.8098526 39.5824101, 94.80957069999999 39.5822925, 94.809528 39.5823533))",POINT (94.8096903 39.5823817),214.7,2310.9
,226,906659921,,yes,,,"POLYGON ((106.6749367 35.5552728, 106.6750656 35.5552294, 106.6750279 35.5551554, 106.6753024 35.5550629, 106.6753156 35.5550887, 106.6754556 35.5550416, 106.67539 35.5549127, 106.6748466 35.5550958, 106.6749367 35.5552728))",POINT (106.6751344 35.5550774),812.3,8743.2
,227,462849033,,yes,,,"POLYGON ((102.9111568 34.9691509, 102.9109725 34.969154, 102.9109839 34.9696016, 102.9111682 34.9695985, 102.9111568 34.9691509))",POINT (102.9110704 34.9693762),835.0,8987.9
,228,948566257,,residential,,,"POLYGON ((102.639239 34.0938856, 102.6391935 34.0938249, 102.6392845 34.0937726, 102.6393376 34.0938291, 102.639239 34.0938856))",POINT (102.639264 34.0938284),84.2,906.3
,229,848886210,,yes,,,"POLYGON ((103.7788752 36.0513846, 103.7791917 36.0512415, 103.7791191 36.0511367, 103.7788026 36.0512798, 103.7788752 36.0513846))",POINT (103.7789971 36.0512607),434.8,4680.4
